name	glass-size (oz)	category		measurement-1	Units	ingredient-1	measurement-2	units	ingredient-2	measurement-3	units	ingredient-3	measurement-4	units	ingredient-4	Measurement-5	Units	ingredient-5	measurement-6	units	ingredient-6	special ingredients	instructions	glass	glass-size (oz)
Spring Feeling Cocktail	6	Cocktail Classics		1	oz	 Lemon Juice	0.5	oz	 Green Chartreuse	1	oz	 Gin											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Sphinx Cocktail	6	Cocktail Classics		1.5	oz	 Gin	1.5	oz	 Sweet Vermouth	1.5	oz	 Dry Vermouth										Lemon Slice	Stir with ice and strain into cocktail glass. Garnish with a lemon slice.	Cocktail Glass	6
Jitterbug Sour	6	Whiskies		2	oz	 Straight rye whiskey	0.5	oz	 Benedictine	0.75	oz	 Fresh lemon juice	0.5	oz	 Honey Syrup	1.00	oz	 Egg White	1	count	 Angostura Bitters	Lemon Twist	Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and garnish with a lemon twist.	Cocktail Glass	6
Southern Gin Cocktail	6	Cocktail Classics		2	oz	 Gin	2	oz	 Orange Bitters	0.5	oz	 Triple Sec										Lemon Twist	Stir with ice and strain into cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Society Cocktail	6	Cocktail Classics		1.5	oz	 Gin	0.75	oz	 Dry Vermouth	0.25	oz	 Grenadine											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Snyder	6	Cocktail Classics		1.5	oz	 Gin	0.5	oz	 Dry Vermouth	0.5	oz	 Triple Sec										Lemon Twist	Shake with ice and strain into cocktail glass. Garnish with a lemon twist	Cocktail Glass	6
Smiler Cocktail	6	Cocktail Classics		0.5	oz	 Sweet Vermouth	0.5	oz	 Dry Vermouth	1	oz	 Gin	1	oz	 Bitters	0.25	oz	 Orange Juice					Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Smile Cocktail	6	Cocktail Classics		1	oz	 Grenadine	1	oz	 Gin	0.5	oz	 Lemon Juice											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Amaretto Rose	14	Cordials and Liqueurs		1.5	oz	 Amaretto	0.5	oz	 Fresh lemon juice	0.5	oz	 Simple Syrup	1	oz	 Soda water								Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.	Collins Glass	14
Sand-Martin Cocktail	6	Cocktail Classics		1	oz	 Green Chartreuse	1.5	oz	 Sweet Vermouth	1.5	oz	 Gin											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Irish Whiskey Highball	7	Whiskies		2	oz	 Irish Whiskey	1	oz	 Ginger ale or soda water													Lemon Twist	"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Garnish with a lemon twist, if desired, and stir."	Highball Glass	7
Japanese	6	Brandy		2	oz	 Brandy	0.5	oz	 orgeat or almond syrup	2	oz	 Angostura Bitters										Lemon Twist	Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Roselyn Cocktail	6	Cocktail Classics		0.75	oz	 Dry Vermouth	1.5	oz	 Gin	0.5	oz	 Grenadine										Lemon Twist	Stir with ice and strain into cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Resolute Cocktail	6	Cocktail Classics		0.25	oz	 Juice of a Lemon	0.5	oz	 Apricot Flavored Brandy	1	oz	 Gin											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Racquet Club Cocktail	6	Cocktail Classics		1.5	oz	 Gin	0.75	oz	 Dry Vermouth	1	oz	 Orange Bitters											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Amaretto And Cream	6	Cordials and Liqueurs		1.5	oz	 Amaretto	1.5	oz	 half-and-half														Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Pollyanna Cocktai	6	Cocktail Classics		3	oz	 Orange	3	oz	 Pineapple 	2	oz	 Gin	0.5	oz	 Sweet Vermouth	1.00	oz	 Grenadine					Muddle ingredients. Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Plaza Cocktail	6	Cocktail Classics		0.75	oz	 Sweet Vermouth	0.75	oz	 Dry Vermouth	0.75	oz	 Gin										Pineapple Slice	Shake with ice and strain into cocktail glass. Garnish with a pineapple slice.	Cocktail Glass	6
Irish Whiskey Cocktail	6	Whiskies		2	oz	 Irish Whiskey	0.5	oz	 Triple Sec	0.5	oz	 Anisette	0.25	oz	 Maraschino liqueur	1.00	oz	 Angostura Bitters				Olive	Stir with ice and strain into chilled cocktail glass. Garnish with an olive.	Cocktail Glass	6
Absinthe Special Cocktail	6	Cordials and Liqueurs		1.5	oz	 Absinthe	0.25	oz	 Simple Syrup	1	oz	 Orange Bitters											Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Nineteenth Hole	6	Cocktail Classics		1.5	oz	 Gin	1	oz	 Dry Vermouth	1	oz	 Sweet Vermouth	1	oz	 Bitters							Olive	Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.	Cocktail Glass	6
Montreal Club Bouncer	6	Cocktail Classics		1.5	oz	 Gin	0.5	oz	 Anisette														Pour into old-fashioned glass over ice cubes. Stir.	Old-Fashioned Glass	6
Monte Carlo Imperial Highball	7	Cocktail Classics		2	oz	 Gin	0.5	oz	 White creme de menthe	0.25	oz	 Juice of a Lemon	1	oz	 Chilled Champagne								Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.	Highball Glass	7
Irish Shillelagh	8	Whiskies		1.5	oz	 Irish Whiskey	1	oz	 Light Rum	0.5	oz	 Sloe gin	1	oz	 Fresh lemon juice	0.50	oz	 Simple Syrup				"Berries, Peach Slices, Cherry"	"Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and a cherry."	Irish Coffee Glass	8
Melon Cocktail	6	Cocktail Classics		2	oz	 Gin	0.25	oz	 Lemon Juice	0.25	oz	 Maraschino										Cherry	Shake with ice and strain into cocktail glass. Garnish with a cherry.	Cocktail Glass	6
Martini (Medium)	6	Cocktail Classics		1.5	oz	 Gin	0.5	oz	 Dry Vermouth	0.5	oz	 Sweet Vermouth										Olive	Stir or shake with ice and strain into cocktail glass. 	Cocktail Glass	6
Martini (Dry) (5-to-1)	6	Cocktail Classics		1.666666667	oz	 Gin	0.33	oz	 Dry Vermouth													Olive	Stir or shake with ice and strain into cocktail glass. 	Cocktail Glass	6
Mamie's Sister	14	Cocktail Classics		1	oz	 Juice of a Lime	2	oz	 Gin	1	oz	 Ginger ale											"Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir."	Collins Glass	14
Irish Rickey	7	Whiskies		1.5	oz	 Irish Whiskey	0.5	oz	 Fresh Lime Juice	1	oz	 Soda water										Lime Slice	Pour whiskey and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with a lime slice.	Highball Glass	7
Maiden's Prayer	6	Cocktail Classics		1.5	oz	 Gin	0.5	oz	 Triple Sec	1	oz	 Lemon Juice											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Lone Tree Cocktail	6	Cocktail Classics		0.75	oz	 Sweet Vermouth	1.5	oz	 Gin														Stir with ice and strain into cocktail glass.	Cocktail Glass	6
London Buck	7	Cocktail Classics		2	oz	 Gin	0.5	oz	 Juice of a Lemon	1	oz	 Ginger ale											Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.	Highball Glass	7
Leap Frog Highball	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	2	oz	 Gin	1	oz	 Ginger ale											Pour into highball glass over ice cubes and fill with ginger ale. Stir.	Highball Glass	7
Incider Cocktail	6	Whiskies		1.5	oz	 Rye or bourbon whiskey	4	oz	 Apple cider	1	oz	 Apple slice										Apple Slice	Stir whiskey and apple cider in ice-filled old-fashioned glass. Garnish with an apple slice.	Old-Fashioned Glass	6
Kup's Indispensable Cocktail	6	Cocktail Classics		0.5	oz	 Light Vermouth	0.5	oz	 Dry Vermouth	1.5	oz	 Gin	1	oz	 Bitters								Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Knock-Out Cocktail	6	Cocktail Classics		0.5	oz	 Anisette	0.75	oz	 Gin	0.75	oz	 Dry Vermouth	1	oz	 Creme de Menthe (White)							Cherry	Stir with ice and strain into cocktail glass. Garnish with a cherry.	Cocktail Glass	6
K. G. B. Cocktail	6	Cocktail Classics		0.5	oz	 Kummel	1.5	oz	 Gin	0.25	oz	 Apricot Flavored Brandy	0.25	oz	 Lemon Juice							Lemon Twist	Shake with ice and strain into cocktail glass. Garnish with a lemon twist	Cocktail Glass	6
Imperial Fizz	7	Whiskies		1.5	oz	 Bourbon or Rye Whiskey	0.5	oz	 Light Rum	1	oz	 Fresh lemon juice	0.5	oz	 Simple Syrup	1.00	oz	 Soda water					Shake first four ingredients with ice and strain into ice-filled highball glass. Fill with soda water and stir.	Highball Glass	7
Jeyplak Cocktail	6	Cocktail Classics		1.5	oz	 Gin	0.75	oz	 Sweet Vermouth	0.25	oz	 Anisette										Cherry	Shake with ice and strain into cocktail glass. Garnish with a cherry.	Cocktail Glass	6
H. P. W. Cocktail	6	Cocktail Classics		1.5	oz	 Dry Vermouth	1.5	oz	 Sweet Vermouth	1.5	oz	 Gin										Orange Twist	Stir with ice and strain into cocktail glass. Garnish with a orange twist.	Cocktail Glass	6
I.A.P.	14	Whiskies		2	oz	 Tennessee whiskey	0.25	oz	 Fernet-Branca	3	oz	 Cola											Build in ice-filled Collins glass.	Collins Glass	14
Hotel Plaza Cocktail	6	Cocktail Classics		0.75	oz	 Sweet Vermouth	0.75	oz	 Dry Vermouth	0.75	oz	 Gin										Pineapple Slice	Stir with ice and strain into cocktail glass. Garnish with a pineapple slice.	Cocktail Glass	6
Hoffman House Cocktail	6	Cocktail Classics		0.75	oz	 Dry Vermouth	1.5	oz	 Gin													Olive	Stir with ice and strain into cocktail glass. Garnish with an olive.	Cocktail Glass	6
Hawaiin Cocktail	6	Cocktail Classics		2	oz	 Gin	1	oz	 Pineapple Juice	0.5	oz	 Triple Sec											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
White Russian	6	Vodka		2	oz	 Vodka	1	oz	 Coffee liqueur	1	oz	 Milk or half-and-half											Pour vodka and coffee liqueur into ice-filled old-fashioned glass. Fill with milk or half-and-half.	Old-Fashioned Glass	6
Greyhound	7	Cocktail Classics		1.5	oz	 Gin	5	oz	 Grapefruit Juice														Pour into highball glass over ice cubes. Stir well.	Highball Glass	7
Green Devil	6	Cocktail Classics		1.5	oz	 Gin	1.5	oz	 Green creme de menthe	1	oz	 Lime Juice										Mint	Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with mint.	Old-Fashioned Glass	6
Greenback	6	Cocktail Classics		1.5	oz	 Gin	1	oz	 Green creme de menthe	1	oz	 Lemon Juice											Shake with ice and strain into old-fashioned glass over ice cubes.	Old-Fashioned Glass	6
Grapefruit Cocktail	6	Cocktail Classics		1	oz	 Grapefruit Juice	1	oz	 Gin	1	oz	 Maraschino										Cherry	Shake with ice and strain into cocktail glass. Serve with a cherry.	Cocktail Glass	6
Hotel D'alsace	6	Whiskies		1	oz	 Fresh rosemary sprig	2	oz	 Irish Whiskey	0.5	oz	 Benedictine	0.5	oz	 Triple Sec							Rosemary	Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. Add remaining ingredients. Stir with ice and strain into ice-filled old-fashioned glass. Garnish with rosemary.	Old-Fashioned Glass	6
Jamaica Granito	14	Brandy		1.5	oz	 Brandy	1	oz	 Triple Sec	1	oz	 Lemon or Orange Sherbet	6	oz								Nutmeg	Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.	Collins Glass	14
Gin Sling	6	Cocktail Classics		1	oz	 Powdered Sugar	1	oz	 Water	0.5	oz	 Juice of a Lemon	2	oz	 Gin							Orange Twist	Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Garnish with an orange twist	Old-Fashioned Glass	6
Gin Milk Punch	14	Cocktail Classics		1	oz	 Powdered Sugar	2	oz	 Gin	1	oz	 Milk										Nutmeg	"Shake with ice, strain into collins glass, and top with nutmeg."	Collins Glass	14
Horse's Neck (With A Kick)	14	Whiskies		1	oz	 Wide spiral of lemon zest	2	oz	 Bourbon whiskey	1	oz	 Ginger ale										Lemon Twist	Fill Collins glass with ice cubes. Add whiskey. Fill with ginger ale and stir well. Garnish with lemon twist.	Collins Glass	14
Gin and It	6	Cocktail Classics		2	oz	 Gin	1	oz	 Sweet Vermouth														Stir ingredients in cocktail glass. (No ice is used in this drink.)	Cocktail Glass	6
Gin Cocktail	6	Cocktail Classics		2	oz	 Gin	2	oz	 Bitters													Lemon Twist	Stir with ice and strain into cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
West Side	6	Vodka		1.5	oz	 lemon-flavored vodka	0.75	oz	 Fresh lemon juice	0.5	oz	 Simple Syrup				1.00	oz	 Soda water					Shake first four ingredients with ice and double-strain into chilled cocktail glass. Top with a splash of soda water.	Cocktail Glass	6
Gimlet 	6	Cocktail Classics		1	oz	 Lime Juice	1	oz	 Powdered Sugar	1.5	oz	 Gin											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Free Silver	14	Cocktail Classics		0.25	oz	 Juice of a Lemon	0.5	oz	 Powdered Sugar	1.5	oz	 Gin	0.5	oz	 Dark rum	1.00	oz	 Milk			 Club Soda		Shake with ice and strain into collins glass over ice cubes. Fill with club soda.	Collins Glass	14
Frankenjack Cocktail	6	Cocktail Classics		1	oz	 Gin	0.75	oz	 Dry Vermouth	0.5	oz	 Apricot Flavored Brandy	1	oz	 Triple Sec	0.50	oz	 Juice of a Lime	1.5	oz	 Gin & ginger ale	Cherry	Stir with ice and strain into cocktail glass. Garnish with a cherry.	Cocktail Glass	6
Fog Horn	7	Cocktail Classics		0.5	oz	 Juice of a Lime	1.5	oz	 Gin & ginger ale	2	oz	 Gin	1	oz	 Triple Sec							Lime Slice	Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Garnish with a lime slice.	Highball Glass	7
Flying Dutchman	6	Cocktail Classics		2	oz	 Gin	1	oz	 Triple Sec														Shake with ice and strain into old-fashioned glass over ice cubes.	Old-Fashioned Glass	6
Hoot Mon Cocktail	6	Whiskies		1.5	oz	 Blended Scotch Whiskey	0.75	oz	 Sweet Vermouth	1	oz	 Benedictine										Lemon Twist	Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Fifty-Fifty Cocktail	6	Cocktail Classics		1.5	oz	 Gin	1.5	oz	 Dry Vermouth														Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Favorite Cocktail	6	Cocktail Classics		0.75	oz	 Apricot Flavored Brandy	0.75	oz	 Dry Vermouth	0.75	oz	 Gin	0.25	oz	 Lemon Juice								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Farmer's Cocktail	6	Cocktail Classics		1	oz	 Gin	0.5	oz	 Dry Vermouth	0.5	oz	 Sweet Vermouth	2	oz	 Bitters								Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Warsaw Cocktail	6	Vodka		1.5	oz	 Vodka	0.5	oz	 Blackberry-flavored brandy	0.5	oz	 Dry Vermouth	1	oz	 Fresh lemon juice								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Emerald Isle Cocktail	6	Cocktail Classics		2	oz	 Gin	1	oz	 Green creme de menthe	3	oz	 Bitters											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Du Barry Cocktail	6	Cocktail Classics		1	oz	 Bitters	0.75	oz	 Dry Vermouth	0.5	oz	 Anisette	1.5	oz	 Gin							Orange Slice	Stir with ice and strain into cocktail glass. Garnish with an orange slice.	Cocktail Glass	6
Dry Martini (5-to-1)	6	Cocktail Classics		1.666666667	oz	 Gin	0.33	oz	 Dry Vermouth													"Lemon Twist, Olive"	"Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Garnish with a lemon twist or an olive, if desired."	Cocktail Glass	6
Dixie Cocktail	6	Cocktail Classics		0.25	oz	 Juice of Orange	1	oz	 Anisette	0.5	oz	 Dry Vermouth	1	oz	 Gin								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Delmonico No. 2	6	Cocktail Classics		1	oz	 Orange Bitters	1	oz	 Dry Vermouth	1.5	oz	 Gin										Lemon Twist	Stir with ice and strain into cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Hole-In-One	6	Whiskies		1.75	oz	Blended Scotch Whiskey	0.75	oz	 Dry Vermouth	0.25	oz	 Fresh lemon juice	1	oz	 Orange Bitters								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Vodka Stinger	6	Vodka		1	oz	 Vodka	1	oz	 White creme de menthe														Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Caruso	6	Cocktail Classics		1.5	oz	 Gin	1	oz	 Dry Vermouth	0.5	oz	 Green creme de menthe											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Bulldog Highball	7	Cocktail Classics		0.5	oz	 Juice of Orange	2	oz	 Gin	1	oz	 Ginger ale											Pour into highball glass over ice cubes and fill with ginger ale. Stir.	Highball Glass	7
Brown Cocktail	6	Cocktail Classics		0.75	oz	 Gin	0.75	oz	 Light Rum	0.75	oz	 Dry Vermouth											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Bronx Terrace Cocktail	6	Cocktail Classics		1.5	oz	 Gin	1.5	oz	 Dry Vermouth	0.5	oz	 Juice of a Lime										Cherry	Shake with  ice and strain into cocktail glass. Garnish with a cherry.	Cocktail Glass	6
Bronx Cocktail (Dry)	6	Cocktail Classics		1	oz	 Gin	1	oz	 Dry Vermouth	0.25	oz	 Juice of Orange										Orange Slice	Shake with ice and strain into cocktail glass. Garnish with an orange slice.	Cocktail Glass	6
Hill Dog	6	Whiskies		1.5	oz	 White whiskey	0.5	oz	 Grand Marnier	0.5	oz	 Dry Sherry	0.5	oz	 Lavender Syrup							Orange Twist	Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.	Cocktail Glass	6
Blue Devil Cocktail	6	Cocktail Classics		1	oz	 Gin	0.25	oz	Juice of Lemon or Lime	1	oz	 Maraschino	0.5	oz	 Blue curacao								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Blue Canary	6	Cocktail Classics		0.75	oz	 Gin	3	oz	 Grapefruit Juice	1	oz	 Blue curacao										Mint	Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.	Cocktail Glass	6
Blue Bird	6	Cocktail Classics		1.5	oz	 Gin	0.5	oz	 Triple Sec	1	oz	 Bitters										"Lemon Twist, Cherry"	Stir with ice cubes and strain into cocktail glass. Garnish with a lemon twist and a cherry.	Cocktail Glass	6
Bloodhound Cocktail	6	Cocktail Classics		0.5	oz	 Dry Vermouth	0.5	oz	 Sweet Vermouth	1	oz	 Gin										Strawberry	Shake with ice and strain into cocktail glass. Garnish with two or three crushed strawberries.	Cocktail Glass	6
Billy Taylor	14	Cocktail Classics		0.5	oz	 Juice of a Lime	2	oz	 Gin	1	oz	 Club Soda											Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.	Collins Glass	14
Bijou Cocktail	6	Cocktail Classics		0.75	oz	 Gin	0.75	oz	 Green Chartreuse	0.75	oz	 Sweet Vermouth	1	oz	 Orange Bitters							Cherry	Stir with ice and strain into cocktail glass. Garnish with a cherry.	Cocktail Glass	6
Bermuda Rose 	6	Cocktail Classics		1.25	oz	 Gin	1.5	oz	 Apricot Flavored Brandy	1.5	oz	 Grenadine											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Vodka Sour	6	Vodka		2	oz	 Vodka	2	oz	 Vodka	0.75	oz	 Fresh lemon juice	0.75	oz	 Simple Syrup							"Lemon Slice, Cherry"	Shake with ice and strain into chilled cocktail glass. Garnish with a lemon slice and a cherry.	Cocktail Glass	6
Apricot Anisette Collins	14	Cocktail Classics		1.5	oz	 Gin	0.5	oz	 Apricot Flavored Brandy	1.5	oz	 Anisette	1	oz	 Lemon Juice			 Club Soda				Lemon Slice	Shake with ice and strain into collins glass over ice. Fill with club soda and stir lightly. Garnish with a lemon slice.	Collins Glass	14
Alexander's Sister Cocktail	6	Cocktail Classics		1	oz	 Dry gin	1	oz	 Green creme de menthe	1	oz	 Light cream										Nutmeg	Shake with ice and strain into cocktail glass. Top with nutmeg.	Cocktail Glass	6
Highland Cooler	14	Whiskies		2	oz	 Blended Scotch Whiskey	0.5	oz	 Simple Syrup	1	oz	 Soda water or ginger ale										"Orange Twist, Lemon Twist"	Stir Scotch and syrup in Collins glass. Add ice. Fill with soda and stir again. Garnish with an orange twist or a lemon twist.	Collins Glass	14
Alexander Cocktail No. 1	6	Cocktail Classics		1	oz	 Gin	1	oz	 Creme de Cacao (White)	1	oz	 Light cream										Nutmeg	Shake with ice and strain into cocktail glass. Top with nutmeg.	Cocktail Glass	6
